trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
3478ce8c-fb84-4887-9c29-e9242ce82e75,20000121130,D_REG,Pingo D'Água,12,1,grp0
4b397b6e-52b3-48ed-91bc-6f35f6c068e1,20000121130,U_REG,Pingo D'Água,12,1,grp0
fa0706db-0348-48e9-9a99-7ec01df4815e,20000121130,S_REG,Pingo D'Água,12,1,grp0
b4711671-6395-442d-ba20-286c01ddab60,20000121130,S_REG,Pingo D'Água,12,1,grp0
4f6e23fa-ff46-4c71-9799-b6230f4bda62,20000121130,S_REG,Pingo D'Água,12,1,grp0
7dc80f86-3a80-4570-958e-294f5205c615,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
f0d58876-f0dd-4c68-a07b-419d657aae7c,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
4a011d63-c1e2-44d1-8c89-98051c4a6f56,20000121130,S_REG,Terminal Alvorada,12,0,jv6a
4882c3df-7a54-41dc-8603-27524cf0a2bd,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
900f7506-d923-45b7-8da5-aa8b645e2d0a,20000121130,D_REG,Terminal Alvorada,12,0,jv6a
faeafc58-980f-49ef-b3b5-55b1363e93a3,20000121130,D_REG,Pingo D'Água,12,1,grp0
69844f45-8b0a-4bd8-abbc-7611ce7f3774,20000121130,D_REG,Pingo D'Água,12,1,grp0
65cfcde8-ecac-40bd-aa40-d1d5445b7bf3,20000121130,D_REG,Pingo D'Água,12,1,grp0
0038f8c5-e338-48da-ac8b-5346dc27f78e,20000411130,U_REG,Terminal Recreio,41,0,ypaj
d0b5030a-d1c3-4914-84b4-f29d257920ed,20000411130,U_REG,Terminal Recreio,41,0,ypaj
5637f147-201d-4e8b-ab28-58adfc2a4b3d,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
febd57ae-eb9e-4285-85df-9b85e9be2805,20000411130,U_REG,Terminal Recreio,41,0,ypaj
d4c2baff-9a49-4f88-84f5-e9d3f0e39204,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
db52cb81-d180-4782-acf4-8e75d6e6f2c1,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
dfed5691-9604-4f55-bc1c-56bbbe9b8f92,20000411130,U_REG,Terminal Recreio,41,0,ypaj
6f58b3b4-0d3b-4100-aba6-5a2603b397dd,20000411130,U_REG,Terminal Recreio,41,0,ypaj
997bb22a-3e75-4bcb-9755-77603a01c915,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
05514e51-eace-42c9-8de3-9eb30115d8d9,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
6db6f1b7-b542-40e3-aa1d-b16ea9438f49,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
82b2fcaf-5948-41bb-a68c-00b8321ec95e,20000411130,U_REG,Terminal Paulo da Portela,41,1,r7qw
6a246503-74da-49ec-8e30-096d5efa33ee,20000411130,U_REG,Terminal Recreio,41,0,ypaj
658ea4da-e6e0-4a5f-b2b8-82e5c30e10c6,20000411130,U_REG,Terminal Recreio,41,0,ypaj
a638212a-ccfe-4e8c-ba71-e53bb4e2797c,20000131130,S_REG,Terminal Alvorada,13,0,mqyb
4a47d4a3-599d-4bf3-8cc7-1aa0ad82550d,20000131130,U_REG,Mato Alto,13,1,mhki
c5fe35d8-9df0-4b98-ab14-5caf4de39b85,20000131130,U_REG,Mato Alto,13,1,mhki
60c9b935-0e14-4110-8072-aae7b7b47db1,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
4cc04c37-0b74-4658-b934-43f3720c07e5,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
43c61608-a63e-4042-b949-32c2af2fff68,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
2a7aed41-4beb-4898-9b76-eb98652dbfc7,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
d9f31a95-5db4-43f9-8e24-5eb35144371e,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
dcdbfdf0-bd17-4b8f-9774-15fcf69e1230,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
1196535c-1e74-4614-9af5-112ea3e4da3f,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
5c95f611-445b-47d1-922a-1147283cbb99,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
6d8f6d55-0af5-4a55-b298-336135c090bb,20000131130,U_REG,Terminal Alvorada,13,0,mqyb
200b217d-4f44-4268-b7c1-91625cefd9d0,20000131130,S_REG,Terminal Alvorada,13,0,mqyb
d948b31c-e983-4030-ad2f-92e18ed85301,20000131130,U_REG,Mato Alto,13,1,mhki
4356cb44-66b3-488e-9b46-11f7078097da,20000131130,U_REG,Mato Alto,13,1,mhki
0c2214a6-8eae-48a5-b55c-a3926dd4aa2e,20000131130,U_REG,Mato Alto,13,1,mhki
